C,Real-Time Hourly System Load Report,,
C,Filename: rt_hourlysysload_20130101_20130115.csv,,
C,Report for: 01/01/2013 - 01/15/2013,,
C,Report generated: 03/03/2019 22:56:16 EST,,
H,Date,Hour Ending,Total Load
H,Date,HE,MWh
D,1/8/13,11,16538.68
D,1/8/13,12,16358.35
D,1/8/13,13,16093.08
D,1/8/13,14,15973.13
D,1/8/13,15,15800.18
D,1/8/13,16,15863.56
D,1/8/13,17,16852.74
D,1/8/13,18,18312.07
D,1/8/13,19,18328.43
D,1/8/13,20,17917.56
D,1/8/13,21,17218.44
D,1/8/13,22,16105.66
D,1/8/13,23,14593.45
D,1/8/13,24,13507.8
D,1/9/13,1,12850
D,1/9/13,2,12512.29
D,1/9/13,3,12349.16
D,1/9/13,4,12409.04
D,1/9/13,5,12658.55
D,1/9/13,6,13883.28
D,1/9/13,7,15554.55
D,1/9/13,8,16740.65
D,1/9/13,9,16806.15
D,1/9/13,10,16760.72
D,1/9/13,11,16717.58
D,1/9/13,12,16627.65
D,1/9/13,13,16521.3
D,1/9/13,14,16449.19
D,1/9/13,15,16376.84
D,1/9/13,16,16621.34
D,1/9/13,17,17529.53
D,1/9/13,18,18462.74
D,1/9/13,19,18312.59
D,1/9/13,20,17802.01
D,1/9/13,21,17067.96
D,1/9/13,22,15888.97
D,1/9/13,23,14474.5
D,1/9/13,24,13190.65
D,1/10/13,1,12719.13
D,1/10/13,2,12574.13
D,1/10/13,3,12431.42
D,1/10/13,4,12425.44
D,1/10/13,5,12528.07
D,1/10/13,6,13584.18
D,1/10/13,7,14901.2
D,1/10/13,8,16004.12
D,1/10/13,9,16031.05
D,1/10/13,10,15960.2
D,1/10/13,11,15997.68
D,1/10/13,12,15909.2
D,1/10/13,13,15714.01
D,1/10/13,14,15622.07
D,1/10/13,15,15491.13
D,1/10/13,16,15560.39
D,1/10/13,17,16479.73
D,1/10/13,18,17946.78
D,1/10/13,19,18008.72
D,1/10/13,20,17611.98
D,1/10/13,21,16966.12
D,1/10/13,22,15885.09
D,1/10/13,23,14454.83
D,1/10/13,24,13126.4
D,1/11/13,1,12285.03
D,1/11/13,2,11888.98
D,1/11/13,3,11952.49
D,1/11/13,4,11978.73
D,1/11/13,5,12364.88
D,1/11/13,6,13457.12
D,1/11/13,7,15224.3
D,1/11/13,8,16404.94
D,1/11/13,9,16587.46
D,1/11/13,10,16602.19
D,1/11/13,11,16632.63
D,1/11/13,12,16594.74
D,1/11/13,13,16468.19
D,1/11/13,14,16450.88
D,1/11/13,15,16339.27
D,1/11/13,16,16386.51
D,1/11/13,17,17167.07
D,1/11/13,18,17934.25
D,1/11/13,19,17640.82
D,1/11/13,20,17060.8
D,1/11/13,21,16390.53
D,1/11/13,22,15486.3
D,1/11/13,23,14307.54
D,1/11/13,24,13036.11
D,1/12/13,1,12537.38
D,1/12/13,2,12014.93
D,1/12/13,3,11691.99
D,1/12/13,4,11535.46
D,1/12/13,5,11431.58
D,1/12/13,6,11716.48
D,1/12/13,7,12217.81
D,1/12/13,8,13060.14
D,1/12/13,9,14044.54
D,1/12/13,10,14791.9
D,1/12/13,11,15192.82
D,1/12/13,12,15253.54
D,1/12/13,13,15108.8
D,1/12/13,14,14859.34
D,1/12/13,15,14695.68
D,1/12/13,16,14732.11
D,1/12/13,17,15550.23
D,1/12/13,18,16471.62
D,1/12/13,19,16319.85
D,1/12/13,20,15766.26
D,1/12/13,21,15145.08
D,1/12/13,22,14482.7
D,1/12/13,23,13460.54
D,1/12/13,24,12756.2
D,1/13/13,1,12250.08
D,1/13/13,2,11961.78
D,1/13/13,3,11658.94
D,1/13/13,4,11511.36
D,1/13/13,5,11519.43
D,1/13/13,6,11776.61
D,1/13/13,7,12021.04
D,1/13/13,8,12488.26
D,1/13/13,9,12914.92
D,1/13/13,10,13761.48
D,1/13/13,11,14256.22
D,1/13/13,12,14523.68
D,1/13/13,13,14610.12
D,1/13/13,14,14551.82
D,1/13/13,15,14482.84
D,1/13/13,16,14635.02
D,1/13/13,17,15520.5
D,1/13/13,18,16411.16
D,1/13/13,19,16284.18
D,1/13/13,20,15623.02
D,1/13/13,21,15123.1
D,1/13/13,22,14081.5
D,1/13/13,23,12842.17
D,1/13/13,24,12163.76
D,1/14/13,1,11955.46
D,1/14/13,2,11552.36
D,1/14/13,3,11348.5
D,1/14/13,4,11323.99
D,1/14/13,5,11669.53
D,1/14/13,6,12613.35
D,1/14/13,7,13782.43
D,1/14/13,8,15056.84
D,1/14/13,9,15357.95
D,1/14/13,10,15470.78
D,1/14/13,11,15585.59
D,1/14/13,12,15528.37
D,1/14/13,13,15335.59
D,1/14/13,14,15152.24
D,1/14/13,15,14990.5
D,1/14/13,16,15019.95
D,1/14/13,17,15900.31
D,1/14/13,18,17260.12
D,1/14/13,19,17255.07
D,1/14/13,20,16809.27
D,1/14/13,21,16113.62
D,1/14/13,22,15033.79
D,1/14/13,23,14027.64
D,1/14/13,24,13324.52
D,1/15/13,1,12616.37
D,1/15/13,2,12207.77
D,1/15/13,3,12024.56
D,1/15/13,4,11997.1
D,1/15/13,5,12317.27
D,1/15/13,6,13135.64
D,1/15/13,7,14498.32
D,1/15/13,8,15801.15
D,1/15/13,9,15973.26
D,1/15/13,10,16004.79
D,1/15/13,11,16126.96
D,1/15/13,12,16190.62
D,1/15/13,13,16080.86
D,1/15/13,14,16031.14
D,1/15/13,15,15895.97
D,1/15/13,16,15949.64
D,1/15/13,17,16779.28
D,1/15/13,18,18101.06
D,1/15/13,19,18110.69
D,1/15/13,20,17646.4
D,1/15/13,21,16919.12
D,1/15/13,22,15942.74
D,1/15/13,23,14444.12
D,1/15/13,24,13445.68
D,1/16/13,1,12662.83
D,1/16/13,2,12352.79
D,1/16/13,3,12426.48
D,1/16/13,4,12338.49
D,1/16/13,5,12689.88
D,1/16/13,6,13234.1
D,1/16/13,7,14857.93
D,1/16/13,8,16121.27
D,1/16/13,9,16494.46
D,1/16/13,10,16844.77
D,1/16/13,11,17109.91
D,1/16/13,12,17293.31
D,1/16/13,13,17311.38
D,1/16/13,14,17266.48
D,1/16/13,15,17087.76
D,1/16/13,16,17115.16
D,1/16/13,17,17807.01
D,1/16/13,18,18804.5
D,1/16/13,19,18613.62
D,1/16/13,20,18006.71
D,1/16/13,21,17176.84
D,1/16/13,22,15958.75
D,1/16/13,23,14697.67
D,1/16/13,24,13810.71
D,1/17/13,1,13232.57
D,1/17/13,2,12927.69
D,1/17/13,3,12720.53
D,1/17/13,4,12692.94
D,1/17/13,5,13024.06
D,1/17/13,6,13852.78
D,1/17/13,7,15239.58
D,1/17/13,8,16216.56
D,1/17/13,9,16286.3
D,1/17/13,10,16291.04
D,1/17/13,11,16268.03
D,1/17/13,12,16170.71
D,1/17/13,13,16018.42
D,1/17/13,14,15968.11
D,1/17/13,15,15890.9
D,1/17/13,16,16047.48
D,1/17/13,17,16981.75
D,1/17/13,18,18267.48
D,1/17/13,19,18281.96
D,1/17/13,20,17901.9
D,1/17/13,21,17293.44
D,1/17/13,22,16232.48
D,1/17/13,23,15066.74
D,1/17/13,24,14127.87
D,1/18/13,1,13015.92
D,1/18/13,2,12579.52
D,1/18/13,3,12375.9
D,1/18/13,4,12438.75
D,1/18/13,5,12813.1
D,1/18/13,6,13735.92
D,1/18/13,7,15871.81
D,1/18/13,8,17140.9
D,1/18/13,9,17312.97
D,1/18/13,10,17328.68
D,1/18/13,11,17370.56
D,1/18/13,12,17276.63
D,1/18/13,13,17006.63
D,1/18/13,14,17036.99
D,1/18/13,15,16932.1
D,1/18/13,16,16992.08
D,1/18/13,17,17506.12
D,1/18/13,18,18753.79
D,1/18/13,19,18748.97
D,1/18/13,20,18271.96
D,1/18/13,21,17709
D,1/18/13,22,16889.92
D,1/18/13,23,15731.22
D,1/18/13,24,14504.56
D,1/19/13,1,13542.88
D,1/19/13,2,12986.21
D,1/19/13,3,12640.73
D,1/19/13,4,12474.05
D,1/19/13,5,12486.45
D,1/19/13,6,12839.32
D,1/19/13,7,13502.91
D,1/19/13,8,14223.66
D,1/19/13,9,15061.99
D,1/19/13,10,15659.37
D,1/19/13,11,15839.85
D,1/19/13,12,15722.78
D,1/19/13,13,15395.81
D,1/19/13,14,14994.24
D,1/19/13,15,14958.68
D,1/19/13,16,14900.13
D,1/19/13,17,15335.54
D,1/19/13,18,16610.37
D,1/19/13,19,16575.96
D,1/19/13,20,16054.28
D,1/19/13,21,15490.89
D,1/19/13,22,14762.62
D,1/19/13,23,13813.42
D,1/19/13,24,12898.31
D,1/20/13,1,12370.98
D,1/20/13,2,12359.24
D,1/20/13,3,12080.92
D,1/20/13,4,11929.34
D,1/20/13,5,11984.63
D,1/20/13,6,12246.56
D,1/20/13,7,12416.97
D,1/20/13,8,12644.96
D,1/20/13,9,13182.34
D,1/20/13,10,13765.14
D,1/20/13,11,14044.45
D,1/20/13,12,14223.34
D,1/20/13,13,14327.19
D,1/20/13,14,14285.46
D,1/20/13,15,14154.46
D,1/20/13,16,14218.18
D,1/20/13,17,14975.9
D,1/20/13,18,16505.34
D,1/20/13,19,16602.32
D,1/20/13,20,16010.67
D,1/20/13,21,15604.41
D,1/20/13,22,14910.72
D,1/20/13,23,14080.3
D,1/20/13,24,13274.02
D,1/21/13,1,12615.79
D,1/21/13,2,12252.2
D,1/21/13,3,12134.84
D,1/21/13,4,12188.93
D,1/21/13,5,12748.64
D,1/21/13,6,13348.69
D,1/21/13,7,14625.51
D,1/21/13,8,15733.64
D,1/21/13,9,16503.12
D,1/21/13,10,17057.26
D,1/21/13,11,17412.11
D,1/21/13,12,17392.16
D,1/21/13,13,17223
D,1/21/13,14,17260.11
D,1/21/13,15,17217.46
D,1/21/13,16,17302.22
D,1/21/13,17,18133.15
D,1/21/13,18,19303.25
D,1/21/13,19,19232.18
D,1/21/13,20,18658.41
D,1/21/13,21,17858.82
D,1/21/13,22,16699.54
D,1/21/13,23,15500.86
D,1/21/13,24,14207.4
D,1/22/13,1,13714.1
D,1/22/13,2,13742.06
D,1/22/13,3,13631.9
D,1/22/13,4,13651.55
D,1/22/13,5,14038.27
D,1/22/13,6,14664.62
D,1/22/13,7,16228.96
D,1/22/13,8,17382.44
D,1/22/13,9,17560.93
D,1/22/13,10,17571.72
D,1/22/13,11,17674.94
D,1/22/13,12,17737.56
D,1/22/13,13,17443.11
D,1/22/13,14,17372.69
D,1/22/13,15,17283.05
D,1/22/13,16,17353.25
D,1/22/13,17,17998.57
D,1/22/13,18,19579.6
D,1/22/13,19,19816.75
D,1/22/13,20,19560.05
D,1/22/13,21,18973.69
D,1/22/13,22,17910.59
D,1/22/13,23,16426.98
D,1/22/13,24,15408.21
D,1/23/13,1,14603.74
D,1/23/13,2,14361.28
D,1/23/13,3,14399.11
D,1/23/13,4,14456.83
D,1/23/13,5,14565.08
D,1/23/13,6,15455.61
D,1/23/13,7,17561.89
D,1/23/13,8,18752.54
D,1/23/13,9,18813.27
D,1/23/13,10,18754.81
D,1/23/13,11,18752.94
D,1/23/13,12,18670.54
D,1/23/13,13,18463.27
D,1/23/13,14,18365.65
D,1/23/13,15,18181.2
D,1/23/13,16,18259.13
D,1/23/13,17,19010.16
D,1/23/13,18,20560.47
D,1/23/13,19,20761.65
D,1/23/13,20,20419.94
