Month,Day,Time,load,Solar,Wind,Stored,BattIn,BattOut
1,1,0,20.990600201698854,0.0,50.5,68.21600886175696,0.0,0.0
1,1,1,20.206704279463963,0.0,50.5,68.21600886175695,0.0,0.0
1,1,2,20.24668445757171,0.0,50.5,68.21600886175693,0.0,0.0
1,1,3,19.592428497362455,0.0,50.5,68.21600886175693,0.0,0.0
1,1,4,19.505836736704634,0.0,50.5,68.21600886175692,0.0,0.0
1,1,5,19.257087163322026,0.0,50.5,68.2160088617569,0.0,0.0
1,1,6,19.964650027674942,0.0,50.5,68.21600886175692,0.0,0.0
1,1,7,20.488163454999473,5.098775743515044,50.5,68.21600886175692,0.0,0.0
1,1,8,21.071039936548733,105.00059111515878,50.5,68.21600886175692,0.0,0.0
1,1,9,22.272378773606466,176.48964664132717,50.5,68.21600886175693,0.0,0.0
1,1,10,23.233005619051458,225.34123935301363,50.5,68.21600886175692,0.0,0.0
1,1,11,23.834354157312372,247.18912801014233,50.5,68.21600886175693,0.0,0.0
1,1,12,24.007697471506148,239.59320276860095,50.5,68.21600886175693,0.0,0.0
1,1,13,23.923934044791196,203.91325844033676,50.5,68.21600886175693,0.0,0.0
1,1,14,23.941718992126894,119.75209109037588,50.5,68.21600886175693,0.0,0.0
1,1,15,24.396505502568367,46.46072330619894,50.5,68.21600886175693,0.0,0.0
1,1,16,26.55832737148078,0.0,50.5,68.21600886175692,0.0,0.0
1,1,17,28.883857044035814,0.0,50.5,68.2160088617569,0.0,0.0
1,1,18,28.782835986482986,0.0,50.5,68.2160088617569,0.0,0.0
1,1,19,28.159931388962544,0.0,50.5,68.21600886175689,0.0,0.0
1,1,20,27.174600564558887,0.0,50.5,68.21600886175688,0.0,0.0
1,1,21,25.54116580575393,0.0,50.5,68.21600886175688,0.0,0.0
1,1,22,23.744486642652912,0.0,50.5,68.21600886175686,0.0,0.0
1,1,23,22.018372014533433,0.0,50.5,68.21600886175685,0.0,0.0
1,2,0,21.527743961527744,0.0,50.5,68.21600886175685,0.0,0.0
1,2,1,21.466207724160466,0.0,50.5,68.21600886175683,0.0,0.0
1,2,2,21.34206463714245,0.0,50.5,68.21600886175682,0.0,0.0
1,2,3,21.093155270881713,0.0,50.5,68.21600886175682,0.0,0.0
1,2,4,21.42835279133183,0.0,50.5,68.2160088617568,0.0,0.0
1,2,5,22.745621361471777,0.0,50.5,68.2160088617568,0.0,0.0
1,2,6,25.730104904853043,0.0,50.5,68.2160088617568,0.0,0.0
1,2,7,27.729193706679407,6.118530892218053,50.5,68.2160088617568,0.0,0.0
1,2,8,28.08088185215238,77.24588282253244,50.5,68.2160088617568,0.0,0.0
1,2,9,28.26007358568566,160.34641858928245,50.5,68.2160088617568,0.0,0.0
1,2,10,28.317966545431606,198.87277006974946,50.5,68.21600886175682,0.0,0.0
1,2,11,28.160442726172555,249.46254490650713,50.5,68.21600886175683,0.0,0.0
1,2,12,27.88782009679755,178.41622752915885,50.5,68.21600886175682,0.0,0.0
1,2,13,27.782212983642438,157.00183715869082,50.5,68.21600886175683,0.0,0.0
1,2,14,27.67767648277079,121.50187192821929,50.5,68.21600886175685,0.0,0.0
1,2,15,27.924492562328037,49.44238307294235,50.5,68.21600886175685,0.0,0.0
1,2,16,29.709874368945375,0.0,50.5,68.21600886175686,0.0,0.0
1,2,17,31.857666423158097,0.0,50.5,68.21600886175685,0.0,0.0
1,2,18,31.850443785066695,0.0,50.5,68.21600886175683,0.0,0.0
1,2,19,31.221514996040806,0.0,50.5,68.21600886175682,0.0,0.0
1,2,20,30.182605619600672,0.0,50.5,68.21600886175682,0.0,0.0
1,2,21,28.35908125297407,0.0,50.5,68.2160088617568,0.0,0.0
1,2,22,25.90923272123507,0.0,50.5,68.2160088617568,0.0,0.0
1,2,23,23.769462269504395,0.0,50.5,68.21600886175679,0.0,0.0
1,3,0,22.87198556949578,0.0,50.5,68.21600886175678,0.0,0.0
1,3,1,22.634661186899358,0.0,50.1991,68.21600886175678,0.0,0.0
1,3,2,22.36462720215004,0.0,50.5,68.21600886175676,0.0,0.0
1,3,3,22.5843424095767,0.0,49.4409,68.21600886175678,0.0,0.0
1,3,4,23.38595936199604,0.0,50.126,68.21600886175678,0.0,0.0
1,3,5,24.08939957009324,0.0,46.578199999999995,68.21600886175678,0.0,0.0
1,3,6,27.24315170927601,0.0,49.13999999999999,68.21600886175679,0.0,0.0
1,3,7,29.21557107974273,6.118530892218053,42.79469999999999,68.21600886175679,0.0,0.0
1,3,8,29.49667871094635,77.08586230613868,35.4692,68.2160088617568,0.0,0.0
1,3,9,29.41914720647841,186.76100295490346,32.5152,68.21600886175682,0.0,0.0
1,3,10,29.337029646408187,200.11915646419024,13.2025,68.2160088617568,0.0,0.0
1,3,11,28.98454253654457,217.64466841361607,11.493,68.2160088617568,0.0,0.0
1,3,12,28.460453854858777,209.9383458852977,8.8735,68.2160088617568,0.0,0.0
1,3,13,28.155137602618687,204.02610740374575,8.734000000000002,68.2160088617568,0.0,0.0
1,3,14,27.883761357693086,119.05488275432799,11.993500000000001,68.2160088617568,0.0,0.0
1,3,15,28.86373912067944,46.281798391312115,14.8275,68.21600886175682,0.0,0.0
1,3,16,29.992947452549974,0.0,25.12320000000001,68.2160088617568,0.0,5.205502354409365
1,3,17,32.01239386704991,0.0,23.325600000000005,63.010506507347436,0.0,9.285723000587817
1,3,18,32.09791501542427,0.0,47.3027,53.72478350675962,0.0,0.0
1,3,19,31.469002205686195,0.0,27.273599999999995,53.72478350675963,0.0,4.484662967061679
1,3,20,30.304623461339578,0.0,36.403000000000006,49.240120539697955,0.0,0.0
1,3,21,28.40872890020859,0.0,46.9163,49.24012053969795,0.0,0.0
1,3,22,25.825661045973874,0.0,46.9646,49.240120539697955,21.138938954026123,0.0
1,3,23,23.83884433718778,0.0,12.169,70.37905949372409,0.0,12.474446111371224
1,4,0,22.01730140224997,0.0,10.804000000000002,57.90461338235286,0.0,11.986425870924608
1,4,1,21.643961321790588,0.0,9.026499999999999,45.91818751142826,0.0,13.487398526767063
1,4,2,21.661282869779715,0.0,20.1,32.4307889846612,0.0,1.6689287758201115
1,4,3,21.719079953798786,0.0,48.891799999999996,30.761860208841085,0.0,0.0
1,4,4,22.136043489987244,0.0,50.5,30.761860208841085,0.0,0.0
1,4,5,23.085165248206987,0.0,50.5,30.76186020884108,0.0,0.0
1,4,6,26.04559996342992,0.0,48.9428,30.76186020884108,0.0,0.0
1,4,7,27.833746186838873,4.758857360614041,50.5,30.761860208841078,0.0,0.0
1,4,8,28.076487548003847,32.4937837222005,50.5,30.761860208841075,0.0,0.0
1,4,9,28.111737856918992,35.95760185654305,50.5,30.761860208841078,0.0,0.0
1,4,10,27.956658868695303,109.38232273794662,50.5,30.761860208841075,0.0,0.0
1,4,11,27.614542316622224,62.00484024457524,50.5,30.761860208841075,0.0,0.0
1,4,12,27.18187114051373,58.7176871038994,50.5,30.761860208841078,0.0,0.0
