3740360,city??,state??,country??,2013,43.759869,-69.331055,Not Available,1,8760
WIND Toolkit data from NREL downloaded on 2019-3-17,,,,,,,,,
Temperature,Pressure,Speed,Direction,,,,,,
C,atm,m/s,Degrees,,,,,,
1.4,1.0,7.715,242.6,,,,,,
1.7,1.0,7.239,258.9,,,,,,
1.8,1.0,6.641,264.7,,,,,,
2.0,1.0,5.252,261.4,,,,,,
2.4,1.0,4.187,264.4,,,,,,
2.9,1.0,3.961,265.0,,,,,,
3.0,1.0,3.681,268.3,,,,,,
2.6,1.0,2.106,329.6,,,,,,
2.5,1.0,2.274,357.6,,,,,,
2.4,1.0,3.571,17.9,,,,,,
1.8,1.0,5.319,44.6,,,,,,
0.5,1.0,6.998,40.2,,,,,,
-0.1,1.0,8.106,40.8,,,,,,
-0.4,1.0,9.119,34.4,,,,,,
-1.5,1.0,10.752,31.7,,,,,,
-2.9,1.01,10.968,20.2,,,,,,
-3.7,1.01,10.218,16.5,,,,,,
-4.5,1.01,10.239,15.8,,,,,,
-5.1,1.01,10.636,16.4,,,,,,
-5.9,1.01,11.026,17.1,,,,,,
-6.1,1.01,10.218,16.9,,,,,,
-6.1,1.01,8.414,13.2,,,,,,
-5.6,1.01,7.105,9.9,,,,,,
-5.5,1.01,6.061,9.6,,,,,,
-5.3,1.01,5.463,4.2,,,,,,
-4.9,1.01,4.324,6.9,,,,,,
-4.5,1.01,3.742,17.5,,,,,,
-4.1,1.02,3.07,20.6,,,,,,
-3.5,1.02,1.837,26.1,,,,,,
-2.8,1.02,0.607,74.2,,,,,,
-2.1,1.02,2.075,176.5,,,,,,
-1.3,1.02,4.108,184.8,,,,,,
-0.6,1.02,6.177,200.1,,,,,,
0.3,1.02,9.012,205.1,,,,,,
1.1,1.01,10.147,216.9,,,,,,
1.6,1.01,10.001,217.6,,,,,,
2.4,1.01,11.664,216.1,,,,,,
3.0,1.01,14.512,218.0,,,,,,
3.4,1.01,14.759,220.7,,,,,,
3.4,1.01,14.826,224.8,,,,,,
3.0,1.01,14.277,227.3,,,,,,
2.9,1.01,14.106,227.4,,,,,,
2.9,1.01,15.314,230.2,,,,,,
2.8,1.01,14.927,232.3,,,,,,
2.7,1.01,14.475,232.3,,,,,,
2.6,1.01,13.141,233.2,,,,,,
2.6,1.01,11.82,228.0,,,,,,
3.2,1.01,11.557,228.2,,,,,,
4.5,1.01,12.494,233.7,,,,,,
5.1,1.01,12.61,236.2,,,,,,
5.5,1.01,12.085,242.3,,,,,,
5.8,1.01,11.963,244.9,,,,,,
6.0,1.01,10.73,255.5,,,,,,
5.9,1.01,10.324,265.2,,,,,,
3.7,1.01,5.673,294.2,,,,,,
3.6,1.01,6.183,274.6,,,,,,
3.2,1.01,3.684,282.9,,,,,,
3.7,1.01,2.762,310.0,,,,,,
4.2,1.01,4.788,317.4,,,,,,
3.6,1.01,5.429,329.6,,,,,,
2.5,1.01,4.779,342.7,,,,,,
2.1,1.02,2.957,347.2,,,,,,
1.9,1.02,4.379,8.1,,,,,,
2.3,1.02,3.449,55.9,,,,,,
3.5,1.02,3.601,80.0,,,,,,
4.0,1.02,3.787,110.7,,,,,,
4.6,1.02,4.309,130.1,,,,,,
5.0,1.01,4.947,135.0,,,,,,
5.0,1.01,6.107,131.6,,,,,,
5.4,1.01,5.969,157.0,,,,,,
5.5,1.01,6.348,188.0,,,,,,
5.0,1.01,7.23,205.4,,,,,,
4.2,1.01,7.73,207.6,,,,,,
4.6,1.01,7.727,209.3,,,,,,
5.1,1.01,8.274,202.0,,,,,,
5.7,1.01,10.309,210.0,,,,,,
6.0,1.0,10.862,211.4,,,,,,
6.3,1.0,11.069,217.6,,,,,,
6.3,1.0,12.58,229.9,,,,,,
6.0,1.0,13.761,242.9,,,,,,
5.6,1.0,12.824,241.4,,,,,,
4.9,1.0,14.454,250.0,,,,,,
4.9,1.0,14.093,257.4,,,,,,
4.9,1.0,13.535,272.0,,,,,,
4.5,1.0,14.988,270.7,,,,,,
4.1,1.0,15.326,279.5,,,,,,
3.8,1.0,17.747,285.7,,,,,,
3.4,1.0,17.563,287.2,,,,,,
3.1,1.01,14.566,295.1,,,,,,
2.6,1.01,14.67,296.0,,,,,,
2.3,1.01,18.485,302.6,,,,,,
1.9,1.01,18.711,307.2,,,,,,
2.4,1.01,16.227,306.3,,,,,,
3.0,1.01,12.131,306.4,,,,,,
2.8,1.01,14.463,303.2,,,,,,
3.1,1.01,11.74,312.9,,,,,,
3.3,1.01,9.894,305.8,,,,,,
3.3,1.01,10.602,307.8,,,,,,
2.9,1.01,11.853,302.5,,,,,,
3.0,1.02,10.755,309.7,,,,,,
2.8,1.02,11.856,323.2,,,,,,
2.3,1.02,10.138,320.6,,,,,,
1.7,1.02,9.122,326.9,,,,,,
1.8,1.02,8.286,337.2,,,,,,
0.9,1.02,6.14,348.7,,,,,,
0.7,1.02,9.497,353.7,,,,,,
0.7,1.02,11.039,355.4,,,,,,
0.4,1.02,9.223,2.2,,,,,,
-0.1,1.02,9.323,4.1,,,,,,
-0.4,1.02,9.104,5.9,,,,,,
-0.9,1.02,7.782,5.1,,,,,,
-1.1,1.02,8.158,355.4,,,,,,
-1.1,1.02,7.715,354.2,,,,,,
-1.4,1.02,6.919,16.9,,,,,,
-1.4,1.02,5.484,19.0,,,,,,
-0.9,1.02,5.322,30.7,,,,,,
-0.7,1.02,5.869,43.9,,,,,,
-0.9,1.02,5.383,42.3,,,,,,
-0.6,1.02,5.179,43.9,,,,,,
-0.3,1.02,4.654,39.3,,,,,,
0.4,1.02,3.775,44.9,,,,,,
0.9,1.02,3.006,62.0,,,,,,
1.4,1.02,2.31,82.1,,,,,,
1.9,1.01,1.624,104.6,,,,,,
2.3,1.01,2.249,124.7,,,,,,
2.7,1.01,3.07,133.9,,,,,,
3.2,1.01,3.931,134.5,,,,,,
3.6,1.01,4.685,137.8,,,,,,
4.0,1.01,5.008,145.2,,,,,,
4.3,1.01,5.38,150.6,,,,,,
4.6,1.01,5.588,156.0,,,,,,
4.8,1.01,5.542,165.3,,,,,,
5.1,1.01,5.744,164.8,,,,,,
5.3,1.01,5.371,172.4,,,,,,
5.4,1.01,5.805,173.7,,,,,,
5.4,1.01,5.148,172.5,,,,,,
5.7,1.01,4.801,177.0,,,,,,
5.9,1.01,4.37,190.8,,,,,,
5.9,1.01,5.24,199.1,,,,,,
6.1,1.01,5.396,182.4,,,,,,
6.0,1.01,3.058,198.6,,,,,,
6.0,1.01,2.713,196.6,,,,,,
6.0,1.01,3.674,201.7,,,,,,
6.2,1.01,4.138,193.0,,,,,,
6.4,1.01,4.849,191.2,,,,,,
6.5,1.01,4.88,201.1,,,,,,
6.5,1.01,4.923,203.3,,,,,,
6.6,1.01,5.35,206.4,,,,,,
6.2,1.01,4.016,228.7,,,,,,
6.3,1.01,3.977,225.1,,,,,,
6.3,1.01,4.535,226.4,,,,,,
6.1,1.01,4.813,230.6,,,,,,
5.9,1.01,4.944,227.1,,,,,,
5.9,1.01,5.286,221.4,,,,,,
5.9,1.01,5.582,219.4,,,,,,
5.9,1.01,5.582,221.8,,,,,,
6.0,1.01,6.131,219.1,,,,,,
6.0,1.01,5.78,223.8,,,,,,
6.0,1.01,5.411,222.2,,,,,,
6.0,1.01,5.832,220.7,,,,,,
6.1,1.01,5.2,223.2,,,,,,
6.0,1.01,5.118,220.7,,,,,,
5.8,1.01,4.312,225.2,,,,,,
5.6,1.01,4.651,227.9,,,,,,
5.4,1.01,4.837,228.0,,,,,,
5.4,1.01,5.542,226.9,,,,,,
5.5,1.01,6.354,227.3,,,,,,
5.7,1.01,6.604,227.0,,,,,,
5.9,1.01,5.701,220.3,,,,,,
6.4,1.0,5.133,213.7,,,,,,
7.4,1.0,7.596,205.5,,,,,,
7.5,1.0,8.786,203.2,,,,,,
7.6,1.0,8.216,200.9,,,,,,
7.8,1.0,10.303,206.9,,,,,,
8.0,1.0,11.893,207.7,,,,,,
8.0,1.0,11.908,207.0,,,,,,
8.1,1.0,11.649,205.1,,,,,,
8.3,1.0,11.905,204.7,,,,,,
8.3,1.0,11.823,202.1,,,,,,
8.2,1.0,10.23,198.8,,,,,,
8.4,1.0,11.896,202.6,,,,,,
8.4,1.0,11.035,202.9,,,,,,
8.5,1.0,9.983,204.2,,,,,,
8.4,1.0,12.946,209.6,,,,,,
8.5,1.0,11.368,212.5,,,,,,
8.4,1.0,12.864,208.2,,,,,,
8.4,1.0,13.623,211.1,,,,,,
8.5,1.0,12.458,216.9,,,,,,
8.5,1.0,11.386,224.8,,,,,,
8.5,1.0,12.156,227.4,,,,,,
8.3,1.0,10.239,239.9,,,,,,
8.3,1.0,8.414,250.9,,,,,,
8.7,1.0,5.942,273.9,,,,,,
10.6,1.0,7.587,336.5,,,,,,
8.7,1.0,9.864,335.0,,,,,,
7.4,1.01,14.859,317.2,,,,,,
6.1,1.01,11.774,323.5,,,,,,
5.2,1.01,8.28,340.6,,,,,,
3.8,1.01,8.756,338.3,,,,,,
3.2,1.01,9.751,341.4,,,,,,
2.6,1.01,9.18,338.0,,,,,,
2.3,1.01,7.514,345.0,,,,,,
2.0,1.01,7.434,355.2,,,,,,
1.7,1.01,9.165,351.3,,,,,,
1.5,1.01,6.186,7.6,,,,,,
1.3,1.01,6.351,0.5,,,,,,
1.2,1.01,5.872,7.1,,,,,,
0.8,1.01,6.955,359.5,,,,,,
0.6,1.01,6.546,28.7,,,,,,
0.3,1.01,5.893,12.2,,,,,,
0.2,1.01,6.162,12.1,,,,,,
-0.2,1.01,5.939,21.0,,,,,,
-0.0,1.01,4.837,15.7,,,,,,
0.2,1.01,4.102,12.9,,,,,,
0.4,1.01,3.635,5.8,,,,,,
0.6,1.01,2.527,353.5,,,,,,
0.9,1.01,2.033,337.2,,,,,,
1.1,1.01,1.569,310.1,,,,,,
1.2,1.01,1.663,300.3,,,,,,
1.4,1.01,1.862,300.0,,,,,,
1.5,1.01,2.124,296.8,,,,,,
1.6,1.01,1.312,297.1,,,,,,
1.7,1.01,1.105,288.4,,,,,,
1.7,1.01,1.111,294.1,,,,,,
1.4,1.01,2.762,331.6,,,,,,
0.9,1.01,3.323,358.7,,,,,,
1.1,1.01,3.854,19.3,,,,,,
1.5,1.01,3.513,39.9,,,,,,
2.0,1.01,2.973,61.8,,,,,,
2.3,1.01,2.799,81.5,,,,,,
2.6,1.01,3.217,105.2,,,,,,
2.9,1.01,4.132,122.8,,,,,,
3.2,1.01,4.767,133.4,,,,,,
3.1,1.01,4.996,132.4,,,,,,
2.7,1.01,6.015,156.3,,,,,,
2.7,1.01,6.952,138.4,,,,,,
3.0,1.0,8.722,142.7,,,,,,
3.4,1.0,8.118,147.0,,,,,,
3.5,1.0,6.595,134.3,,,,,,
3.4,1.0,6.882,129.1,,,,,,
3.6,1.0,8.234,124.3,,,,,,
4.1,1.0,6.482,133.6,,,,,,
4.1,1.0,8.35,136.8,,,,,,
4.2,1.0,7.294,150.9,,,,,,
4.2,1.0,7.953,146.2,,,,,,
4.6,1.0,7.334,168.9,,,,,,
3.5,1.0,5.267,261.2,,,,,,
2.5,1.0,5.399,267.9,,,,,,
2.3,1.0,5.606,257.4,,,,,,
1.9,1.0,7.602,252.9,,,,,,
1.5,1.0,8.594,253.1,,,,,,
1.4,1.0,8.676,251.6,,,,,,
1.7,1.0,9.302,248.9,,,,,,
1.8,0.99,9.854,251.7,,,,,,
1.8,1.0,10.694,252.8,,,,,,
2.0,1.0,11.167,254.7,,,,,,
2.1,1.0,12.009,257.7,,,,,,
2.0,1.0,11.222,265.2,,,,,,
1.8,1.0,9.272,268.8,,,,,,
1.4,1.0,8.994,279.1,,,,,,
1.1,1.0,7.398,282.2,,,,,,
1.4,1.0,6.204,273.5,,,,,,
2.1,1.0,7.346,261.4,,,,,,
2.5,1.0,8.292,268.5,,,,,,
2.7,1.0,7.978,299.8,,,,,,
1.8,1.0,9.674,304.5,,,,,,
-0.2,1.0,11.798,311.4,,,,,,
-1.3,1.0,10.678,316.5,,,,,,
-2.7,1.0,10.141,322.8,,,,,,
-3.9,1.01,10.385,326.9,,,,,,
-5.0,1.01,9.503,336.2,,,,,,
-5.6,1.01,7.794,340.3,,,,,,
-6.0,1.01,7.038,352.6,,,,,,
-6.5,1.01,7.086,358.3,,,,,,
-7.3,1.01,8.185,3.7,,,,,,
-8.0,1.01,8.506,1.8,,,,,,
-8.6,1.01,8.725,359.3,,,,,,
-9.0,1.01,8.127,355.8,,,,,,
-9.4,1.01,7.816,351.5,,,,,,
-10.1,1.01,8.277,354.0,,,,,,
-11.1,1.01,9.165,353.7,,,,,,
-11.4,1.01,9.488,346.4,,,,,,
-11.9,1.01,10.138,341.0,,,,,,
-12.1,1.01,9.732,329.7,,,,,,
-12.1,1.01,9.25,319.8,,,,,,
-11.7,1.01,8.536,311.3,,,,,,
-11.2,1.01,8.762,302.9,,,,,,
-10.8,1.01,8.893,300.7,,,,,,
-10.0,1.01,8.402,294.5,,,,,,
-9.3,1.01,9.543,285.7,,,,,,
-8.8,1.01,8.856,288.5,,,,,,
-8.4,1.02,8.557,271.1,,,,,,
-7.8,1.02,9.275,263.3,,,,,,
-7.0,1.02,10.157,260.1,,,,,,
-6.8,1.02,9.946,261.1,,,,,,
-6.3,1.02,10.526,253.4,,,,,,
-5.7,1.02,11.066,246.4,,,,,,
-5.1,1.02,10.666,247.2,,,,,,
-4.4,1.01,12.015,239.8,,,,,,
-4.0,1.01,12.812,236.5,,,,,,
-3.2,1.01,12.317,227.1,,,,,,
-2.2,1.01,13.562,225.0,,,,,,
-1.4,1.01,14.344,223.0,,,,,,
-1.6,1.01,16.108,224.7,,,,,,
