Wind Speed (m/s),Turbine Output
1,0
2,0
3,2.2
4,4.9
5,9.4
6,15.9
7,32.7
8,48.8
9,50.5
10,50.5
11,50.5
12,50.5
13,50.5
14,50.5
15,50.5
16,50.5
17,50.5
18,50.5
19,50.5
20,50.5
21,50.5
22,50.5
23,50.5
24,50.5
25,50.5
26,0
27,0
28,0
29,0
30,0
