Wind Speed (m/s),Turbine Output
1,0
2,0
3,2.3
4,5.7
5,11
6,19
7,30
8,45
9,60
10,60
11,60
12,60
13,60
14,60
15,60
16,60
17,60
18,60
19,60
20,60
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
